Nret
330144.47980965907
365133.31796040636
392475.2108742067
417969.9292640614
452195.02386203565
481257.5313020274
513676.503843287
330144.47980965907
370455.207891567
396453.5121448373
423509.4579129033
481163.43059518526
512102.7065404786
548479.6854373357
335201.0155834227
366646.1199226597
395481.00063622725
423193.5801551874
456606.1542219856
493345.86809549533
488892.3273508948
