,c1
0,105.10865643474496
1,121.26297942412074
2,117.46979307166501
3,119.43798363057661
4,128.54759988649033
5,118.96743559875289
6,120.15329317080095
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
