,c1
0,114.18606595223837
1,114.9099963961377
2,114.73771834455273
3,114.70009422256811
4,114.75182549823215
5,114.81339054282206
6,114.85854919160377
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
