,Nmin_b,Nmin_o,Nmin_p
0,6198.030269857799,6041.9507728622675,4172.185559213104
1,6831.41235267342,9087.430484588982,4168.249033578133
2,6818.718002007567,9051.919486771787,4231.214122063593
3,7017.475931086831,9567.537504871985,4757.154481356065
4,8722.61066944085,14004.802884976289,4777.6634216300745
5,8790.975667365723,14187.433553778854,4840.645352584914
6,9003.444040068915,14768.711213401624,5321.271564137751
7,,,
8,,,
9,,,
10,,,
11,,,
