Dind,lind,Nind
,,23972
108.14906018225713,109.0548222926748,28273
101.82766274801135,114.98890107169383,33105
112.03992841097318,128.36869657151487,47613
109.46112171806104,116.25411757293176,60589
103.63842822042872,132.65388436844972,83298
107.055219593899,116.14821004105741,103575
90.1063076930426,106.71976055998068,99599
112.35370200498471,83.67502484964709,93635
98.87794788975377,94.69201260212527,87670
115.40573193704611,112.44145773924946,113764
118.00137010885896,105.94661668014484,142226
93.70983753612494,100.56366135587022,134031
121.52790131597727,80.83982586118137,131676
65.84600634852401,172.01519411282237,149143
99.44439719650892,120.1744748328785,178236
81.58496907209778,164.5916851814448,239339
150.75436137939653,108.60499333581238,391862
125.3094604256862,124.6354275229545,612010
