Nman_b,lman_b,lmanS_b,lamml_b,Nman_o,lman_o,lmanS_o,lamml_o,Nman_p,lman_p,lmanS_p,lamml_p
335.81536876090524,102.92276792174557,102.92276792174557,103.48691234855083,328.7854542934876,102.92276792174557,102.92276792174557,103.48691234855083,261.35439033120133,103.81168838581189,103.81168838581189,104.54740973528182
365.15772051833306,105.23504145369971,108.3108174877441,106.24549440079356,428.6899766299493,109.52846426798679,112.72972708679208,111.3676215862276,273.71792678966705,104.73056390703749,108.72256664787736,105.6436440198805
379.50935949770917,103.93025757719275,112.56771159897556,105.18580238152103,444.2939935403687,103.63993043016468,116.83301072686584,104.80272845292785,286.04056883285375,104.50194921016474,113.61720137835229,105.94012440076114
396.00747066631925,104.34722115692898,117.46127897347704,105.73596752523872,464.312508906256,104.50569119928208,122.09714540904251,105.94506179117266,300.8703261104278,105.18449440164544,119.50767882311919,106.84071282530012
421.2271343297502,106.36848179176937,124.94177913728234,108.40293222359745,508.7879280359529,109.57876823832811,133.79254799338915,112.63876429642052,314.7003945053822,104.59668740807571,125.00107324726507,106.06512729502404
439.2260531118677,104.27297230287813,130.2805067545416,105.63799942096063,529.1056780960978,103.99336323457524,139.13537041555858,105.26906752684907,329.6166511205708,104.7398277458891,130.9259087996981,106.25399468860962
459.0416700224079,104.5114848652872,136.1580920991922,105.95270627919334,552.4654670954219,104.41495715626803,145.27813740862032,105.82534220356148,286.0079861659917,77.68341443673226,101.70771633792761,70.55424478207522
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
