Dind,lind,Nind
,,
,,
,,
,,
,,
,,
,,
90.1063076930426,106.71976055998068,99599.0
112.35370200498471,83.67502484964709,93635.0
98.87794788975377,94.69201260212527,87670.0
115.40573193704611,112.44145773924946,113764.0
118.00137010885896,105.94661668014484,142226.0
93.70983753612494,100.56366135587022,134031.0
121.52790131597727,80.83982586118137,131676.0
65.84600634852401,172.01519411282237,149143.0
99.44439719650892,120.1744748328785,178236.0
81.58496907209778,164.5916851814448,239339.0
150.75436137939653,108.60499333581238,391862.0
125.3094604256862,124.6354275229545,612010.0
