Dind,lind,Nind
,,137
128.8556975760767,182.96934306569344,323
181.87884071072656,115.06996904024767,676
93.46953502006946,131.20118343195267,829
3.1590206196901067,2989.88697225573,783
114.87286988443168,102.84010217113664,925
102.02958434586759,102.14313513513514,964
97.36714932612625,115.9149377593361,1088
108.07237286156246,92.87077205882353,1092
105.82298734443458,97.52619047619048,1127
96.90945590148996,131.93921916592723,1441
100.9827382795177,132.7000693962526,1931
106.68083433302517,97.86374935266701,2016
103.14142762194906,102.91770833333334,2140
86.10097659416017,119.34476635514018,2199
92.89545399141973,90.66116416552978,1852
98.51190431474129,107.8138768898488,1967
103.37960894646648,104.00904931367565,2115
96.17259134055963,116.17215130023641,2363
