ltrd,lelc,lwtr,lind,Ntrd,Nelc,Nwtr,Nind,Nwhl,Dtrd,Delc,Dwtr,Dwhl,Dind,lret,lwhl,lagr,lmin,lcon,lman,Nman,Ncon,Nmin,Nret,Nagr,prognoz
103.64389322544686,99.42387767969772,98.96914431633532,102.34116309901937,22234.693658500106,0.0,816.9182611867158,2425.597679100293,1093.6894474401868,106.9381555653935,0.0,103.17840308081249,105.40479872014022,100.30086961211633,103.14371192405196,114.18606595223835,106.5181673597776,105.1043066969905,-271.45925256807044,104.01990641773857,1537.997614751779,-1195.2114252216033,70.68180316179834,21141.00421105992,9644.352977120772,базовый
103.87501209497438,101.84626243609524,103.30351742801219,98.98759182357155,24820.62695702183,0.0,870.7280103185003,2633.485633983503,1448.2444535859222,107.46585783125346,0.0,103.17840308081249,115.23649776537403,109.68100629122948,103.30413840611591,114.9099938152314,106.50471621197872,103.08759478682856,146.02012561393698,106.27241301946762,1687.51872225813,-1811.188603468223,75.2389014068723,23372.382503435907,10914.166850626254,базовый
103.99693157656625,102.69424605518451,104.82081454112195,95.95305817127685,27791.57087648054,0.0,941.7136110379186,2815.4677268176183,1949.053532200076,107.66630835410182,0.0,103.17840308081249,117.05856842532667,111.41939064887956,103.31709313702156,114.96845230998558,106.505877003962,100.25869665660043,107.72437364277346,106.56596280271349,1798.320573850425,-1951.0915785754391,75.43354192927477,25842.517344280463,12351.304084476018,базовый
104.1307188003814,102.74511073303472,104.91182671060733,92.42766723783625,30961.145160963468,0.0,1014.1369813881478,3006.6766578969623,2700.5305622941682,106.98553283242583,0.0,102.64866923401041,120.5298109123118,115.54048345231978,103.3142873050323,114.95579093432144,106.49132564031157,100.27488740054258,107.92022186170523,106.59383010742506,1916.898777276993,-2105.6223603236604,75.64089923182135,28260.6145986693,13838.651699175249,базовый
104.3420642715445,102.07737886894506,103.71705406770798,88.63316501966187,34799.635552269276,0.0,1079.6925784057528,3200.786088780311,3891.8291746063323,107.72047399027416,0.0,102.64866923401041,125.31771093033686,120.10847890950123,103.32375444126677,114.99851158501886,106.49528240806288,102.34592390190114,135.9164293644254,106.61377415614737,2043.6781332080445,-2861.8867280508553,77.41537716651361,30907.806377662946,15505.682248599109,базовый
104.64466657335703,101.54374084289144,102.76221553291842,85.05758098253601,39638.68863418522,0.0,1138.9034238371012,3398.218822267382,5832.14138810954,108.84976206132427,0.0,102.64866923401041,130.25528820877776,124.81927706578855,103.33471179399494,115.04795686888052,106.5104686535684,103.37551352545869,150.05396951177744,106.63552245948887,2179.286854736727,-4294.374638371035,80.02854369355413,33806.54724607569,17376.003966020075,базовый
105.06923936990349,100.8800835149814,101.57473345771805,81.49468167080335,46073.06755764452,0.0,1187.4789323983823,3594.8658347842406,9093.290872201933,110.62473977199429,0.0,102.64866923401041,135.48436362522926,129.80818507507956,103.34204822530651,115.08106266895206,106.52184446984438,103.90919389645501,157.01959950452886,106.65093870937872,2324.229887746814,-6743.009858394258,83.15701463904438,36979.776685442586,19474.006757207957,базовый
103.64389322544686,99.42387767969772,98.96914431633532,102.34116309901937,22219.926204626558,0.0,816.9182611867158,2392.760439259626,1078.9219935666367,106.86713123270474,0.0,103.17840308081249,103.98157889590796,98.94301717844223,103.14371192405196,114.18606595223835,106.5181673597776,105.1043066969905,-271.45925256807044,104.01990641773857,1506.608892890477,-1166.7654350519078,69.23328518243339,21141.00421105992,9644.352977120772,оптимистичный
103.86827140715371,101.53983346315623,102.75522405825006,89.92717627229422,24998.547366399227,0.0,864.4167821630178,2847.5485879335347,1723.1311986760434,108.31516279161464,0.0,102.9771042190277,138.9830555683822,132.33690298068927,103.30464517923131,114.91228063953716,106.50471621197872,103.08759478682856,161.59579191876162,106.2728167788272,1898.4524806337852,-2293.016532957207,84.67932513673165,23275.416167723182,10873.476698774975,оптимистичный
104.1177560884921,102.16239657613457,103.86917625353563,87.41042547515322,28162.9653965643,0.0,924.5928961086729,3032.509750065996,2535.0482002606677,108.20287708279095,0.0,102.9771042190277,127.97434160206072,121.83381076943844,103.31511543520064,114.95952788906432,106.505877003962,100.25869665660043,122.82283912015222,106.56144869964089,2023.0184662376307,-2816.3480072725224,84.8983877196922,25627.91719630363,12259.37959881975,оптимистичный
104.36030404368488,102.20193542844387,103.9399231230671,84.13979449802305,31752.828814876997,0.0,984.5408922004458,3226.0152214622904,3844.9758768973684,108.03605188597872,0.0,102.44737037222562,131.94740302474187,126.43367435129032,103.31286180327022,114.94935832774044,106.49132564031157,100.27488740054258,122.56589465227225,106.59035508367704,2156.342566571047,-3451.882131635009,85.1317626907974,27907.852937979627,13683.941024274736,оптимистичный
104.73682886367425,101.04848930237453,101.87606193776233,80.2725725069725,36477.48105996167,0.0,1027.5588951559732,3413.61315436472,6083.788638161556,109.68392876700207,0.0,102.44737037222562,137.5928378816821,131.81981873259136,103.32331144384182,114.99651254985324,106.49528240806288,102.34592390190114,150.13194284692673,106.61225195793264,2298.925370148876,-5182.377709009547,87.12888905987059,30393.69242180011,15274.606506331245,оптимистичный
105.28828197895851,99.756462631251,99.56423857935599,76.33601411754336,43170.5480334389,0.0,1048.119775842317,3589.6488138247687,10065.940122275115,112.40423701486084,0.0,102.44737037222562,143.81400913207057,137.7552563781428,103.33471891829387,115.04798901742892,106.5104686535684,103.37551352545869,163.41564823825712,106.63500143673778,2451.4591014877833,-8468.816127332891,90.06993649466844,33104.60791116379,17052.60743737324,оптимистичный
106.0796376044557,97.81739562797966,96.09466593672661,71.97840639780209,53568.44904655746,0.0,1031.8367982698694,3739.934011958453,17508.488019419816,116.97403827629194,0.0,102.44737037222562,151.14239963167245,144.7470595454198,103.34229039950942,115.08215548511886,106.52184446984438,103.90919389645501,170.44244498150246,106.6510253892137,2614.506268733925,-14434.45726841397,93.59094495465891,36059.961027137644,19039.60525441669,оптимистичный
