ltrd,lelc,lwtr,lind,Ntrd,Nelc,Nwtr,Nind,Nwhl,Dtrd,Delc,Dwtr,Dwhl,Dind,lret,lwhl,lagr,lmin,lcon,lman,Nman,Ncon,Nmin,Nret,Nagr,prognoz
104.7782418698602,101.04365817605813,101.04377828096682,104.21409112580902,26301.001583834586,1303.5483735678713,18716.125211259383,6495980.939369604,2429.0162239647743,106.71082362710419,105.65801009491133,107.03720525415714,104.03354300072286,98.63638771989076,104.68551089732136,105.67275265655701,103.35195345161327,104.25751663681082,103.11574364876085,103.57905443549429,323516.83652456285,492303.3744167921,6152444.429260214,23871.98535986981,6548.821014042657,базовый
100.9413956593002,100.208102458236,100.2081264068116,96.07912602620848,28556.78774301441,1380.1694741030747,20074.911773456723,6818516.429483692,2780.064072616888,107.56420232262055,105.65801009491133,107.03720525415714,113.18684302324706,109.24865664806065,100.92342652971466,101.11799340869507,103.61922372132828,100.82750439822728,100.74813432039996,100.86494563600658,339668.360561403,514525.1754482563,6457392.98767473,25776.72367039752,7212.003267603241,базовый
103.55192300753968,100.77676699418264,100.7768563850685,99.7666364518618,31671.56876399303,1469.58688155468,21654.552502625465,7033347.331457549,3132.9106757255045,107.10310304310423,105.65801009491133,107.03720525415714,108.13533716083955,103.39197779210944,103.4805297228471,104.21388076224387,103.67363565534728,103.15730311844446,102.38633294724777,102.73277547894838,348950.734228571,526803.4592318624,6661272.4578447975,28538.658088267526,7946.514919967827,базовый
103.2683588959426,100.71481013044308,100.71489239129,99.64188145045375,34655.51226145727,1549.8780826775358,23088.333730082748,7237050.520940768,3487.3100824225357,105.958419553785,104.71500841242612,105.86433771179762,107.15845199904155,103.26606304177582,103.20162966833936,103.87621619165728,103.86384420931893,102.89946724406693,102.204862893914,102.59283136955645,357998.4383299469,538418.7532283212,6854413.87079806,31168.202179034735,8685.507348538662,базовый
119.03935514094613,104.14988424393019,104.1503618154949,99.54604591552358,44232.443512067635,1690.3057170225604,25456.755959182065,8452494.523461368,5098.880749069585,107.22055310619788,104.71500841242612,105.86433771179762,119.28660513847412,117.32735486013281,118.64405659200486,122.57237767214623,104.11280470015363,116.93598263624494,112.07606122905874,114.54554101558338,410071.24801237724,603438.531536908,8015276.213772784,39133.56276299805,9515.978112322153,базовый
107.5607862796964,101.6456867239422,101.64587611071482,98.98492997720716,50637.40896521707,1799.1324908941995,27393.18355698866,9015226.534656558,6167.063173153232,106.43306663487355,104.71500841242612,105.86433771179762,111.02709257664556,107.7513365600629,107.38150078307804,108.93679026560841,104.40078076656435,106.6738576649825,104.85948342379436,106.28150132104416,435829.878873497,632762.5269497321,8550204.339735178,44470.34579206384,10454.692829386246,базовый
102.45568271163123,100.53573654336118,100.53579819629516,98.75675815249492,54998.27287092382,1894.0548106903389,29154.991750691177,9210705.624158908,6810.406308250329,106.00870382760458,104.71500841242612,105.86433771179762,107.32099241920274,103.45451121305871,102.39424402834005,102.89871360238993,104.73007330971451,102.15721512113876,101.68305193434072,102.10542198427083,445005.9369573206,643412.2488993428,8734650.640640207,48187.866562673495,11522.236393167675,базовый
104.7782418698602,101.04365817605813,101.04377828096682,104.21409112580902,26249.86420902129,1303.5483735678713,18716.125211259383,6328748.881052894,2377.8788491514792,106.50334440365862,105.65801009491133,107.03720525415714,101.8433549611801,96.09709976672703,104.68551089732136,105.67275265655701,103.35195345161327,104.25751663681082,103.11574364876085,103.57905443549429,315168.4085125178,480713.7033321153,5993560.798955549,23871.98535986981,6548.821014042657,оптимистичный
105.4222488747433,101.18876294341577,101.18889974708199,81.07127283787989,30749.61145869774,1388.9494706541325,20186.984661879367,8181866.492914633,3961.107075361662,111.11694562593121,105.29966945556696,106.59151558806052,156.5001539476977,159.4657917325229,105.32069474901459,106.44177037117906,103.61922372132828,104.82405572661465,103.73008812473483,104.26722300259308,405556.1360346892,605281.0364102762,7754734.422747411,26788.504383336076,7185.012768839546,оптимистичный
103.34580203174517,100.73015732524911,100.73024135226186,98.90003525046907,33949.53879630714,1473.238184649532,21674.743410061143,8422936.051610872,4477.117147692051,106.83201163857433,105.29966945556696,106.59151558806052,108.73856571042955,104.09135654924032,103.25738962292469,103.9437248235728,103.67363565534728,102.94776849854513,102.40574935321872,102.68912039677387,416462.0288091661,619842.581028872,7983326.041206995,29472.421648615087,7887.147486807914,оптимистичный
105.34197921520797,101.16177792984074,101.16191162805282,98.80701321130847,37883.084402500215,1555.2837105735348,23114.70923144363,8817972.720347565,5209.838430600985,105.92780644159045,104.35666777308172,105.41864804570099,109.47687792507102,105.95402906020873,105.19755816377592,106.29268878619516,103.86384420931893,104.71340684514601,103.64146083858972,104.13675679919123,433690.050101979,642413.9058779422,8359612.677303568,32673.245971899232,8588.035938461624,оптимистичный
137.1273342463202,108.03407560818216,108.03500017519028,98.71941101378422,56875.34713739916,1753.4386966732152,26325.119656780345,11683136.781132951,10019.568104039663,109.48501832069584,104.35666777308172,105.41864804570099,133.84910732985097,134.2110131190846,136.08181071392204,143.68428375607934,104.11280470015363,132.77343045871442,123.3683754173522,128.13614191316992,555713.6980619696,792535.5991367755,11099344.524717528,46855.779033359504,9373.62332779774,оптимистичный
107.22372764674084,101.55651332069155,101.55669244532692,97.94332224747359,64951.14172106287,1858.3117460276765,28183.592069458526,12416868.453376248,12133.813371161348,106.50544903617579,104.35666777308172,105.41864804570099,111.68318463741726,108.51200488442821,106.96518960822752,108.43276191633323,104.40078076656435,106.27449697439006,104.7288683532805,106.35944201555279,591053.9884627047,830013.5642728362,11795772.561098058,52817.32834990152,10259.371181039887,оптимистичный
103.79013585842911,100.81754281277158,100.81763689616699,97.78476766340889,71525.2527433269,1955.1265956039856,29953.687880378086,12825657.929205457,13835.020852551326,106.10028026865555,104.35666777308172,105.41864804570099,109.19930202504244,105.63220959708248,103.64659847273721,104.4149403612406,104.73007330971451,103.29547150815156,102.62860657751658,103.07860899453397,609250.2297140693,851831.355417592,12184498.885015406,57690.23189077557,11264.233609042007,оптимистичный
104.7782418698602,100.65594861506165,100.65602410208443,102.62856664337538,26143.560176966548,1316.3945416484803,18958.918512953398,4600756.786348506,1871.216141772629,106.07203798442265,107.11023268593858,108.8434212693908,80.14324607144849,70.93815263927391,104.68551089732136,105.67275265655701,107.1545060995414,102.65634714104799,102.07142619706863,102.21906435576108,229380.637126144,362150.6225515216,4351100.83616776,24272.34403519392,6892.745585654348,пессимистичный
103.6575527570272,100.80201404012739,100.80210633646085,100.00375142347963,29465.84571553405,1421.3016005076613,20801.054483344866,4751412.774864398,2109.674491859535,108.73096201059445,107.11023268593858,108.8434212693908,108.0307475217151,103.27071733142776,103.60321324220041,104.36241381991431,103.67363565534728,103.2666854630779,102.37678286307926,102.86517949816044,235952.80411383204,370758.156486861,4493237.614666713,27356.171223674515,7709.929658128479,пессимистичный
102.19700409064116,100.48237413875003,100.48242965070138,99.86431687604826,32395.192959966666,1516.2353696456457,22504.658433291774,4845307.51848072,2317.231635074944,107.5780074298514,106.16723100345335,107.67055372703128,107.03365545202192,102.11469609715256,102.16435348081076,102.620384890155,103.86384420931887,101.9553936614584,101.45603777339001,101.79515662112465,240188.5264996107,376156.5352932342,4581098.098178172,30077.961324891723,8556.000781512654,пессимистичный
109.47364546051256,102.07612659000816,102.07636551209991,99.7896830649364,38274.577541143364,1643.1654536548358,24734.012199994108,5253545.018288997,2883.5404688123444,107.92455196488474,106.16723100345335,107.67055372703128,111.80560438927071,108.65393744706593,109.33298373147188,111.2994525925823,104.11280470015369,108.47721212393243,106.043448261864,107.29918819398613,257720.3390691795,398889.3608873009,4969447.501566169,35391.03707233102,9517.677146743243,пессимистичный
107.77131233384634,101.70265020871145,101.70284615088157,99.47276641379419,44492.16900198217,1774.2060513982792,27084.73707435082,5616629.296423038,3490.5950527710115,107.86238055495602,106.16723100345335,107.67055372703128,110.79123392348274,107.47788376705486,107.64987931445948,109.26171641778684,104.40078076656435,106.93349597234871,104.95710842212723,106.22615597621052,273766.4093620453,418662.73899081495,5314003.943935243,41001.57394921116,10616.728773249073,пессимистичный
101.61376368208316,100.35442609937544,100.35446688697745,99.21151942986104,48608.09526264939,1890.3014972286935,29265.657032178973,5698518.934451381,3781.620667275712,107.51584872682544,106.16723100345335,107.67055372703128,106.29442781919501,102.26431974324858,101.58752137358051,101.92201369000514,104.73007330971451,101.42160509039594,101.08242837414265,101.47880525711466,277814.8814159053,423194.4632696144,5389548.094506068,44826.47459537368,11880.046408874512,пессимистичный
80.25400571738165,95.66855858488023,95.66806011959,86.70300629956614,41882.297547756316,1910.7450188363957,29968.15509419399,5380102.039746115,3239.512117500398,107.36313292222445,105.65801009491133,107.03720525415714,112.0105892380532,108.8915953776622,80.57246479226245,76.47906399640392,80.17816923231706,82.36687233445285,87.12902619186184,85.01592794912794,270152.78726024635,417159.0561626164,5078070.352372838,38642.78543025592,10123.407808979044,пессимистичный
