,Dagr_b,Dagr_o,Dagr_p
0,106.07866946038445,106.07866946038445,107.63886128854979
1,106.07866946038445,105.69368706122677,107.63886128854979
2,106.07866946038445,105.69368706122677,106.62574971181905
3,105.06555788365371,104.68057548449603,106.62574971181905
4,105.06555788365371,104.68057548449603,106.62574971181905
5,105.06555788365371,104.68057548449603,106.62574971181905
6,105.06555788365371,104.68057548449603,106.07866946038445
7,,,
8,,,
9,,,
10,,,
11,,,
