Nret_b,Nret_o,Nret_p
267880.1679791715,267880.1679791715,271896.0078085436
296271.25411051034,298099.5814766606,295304.6931241444
316245.4910569517,316992.47730987036,316264.39825093315
334099.30024076113,335232.4176318339,332532.0673125336
352076.99365747743,363835.509557539,353089.08804022445
369020.7912418228,381615.96777828946,376491.1721584081
388414.26065929234,401891.589672329,395127.33477612317
,,
,,
,,
,,
,,
