,Dret_b,Dret_o,Dret_p
0,106.20302052863515,106.20302052863515,107.79512913098485
1,106.20302052863515,105.8101625618216,107.79512913098485
2,106.20302052863515,105.8101625618216,106.76129237621232
3,105.16918377386263,104.77632580704906,106.76129237621232
4,105.16918377386263,104.77632580704906,106.76129237621232
5,105.16918377386263,104.77632580704906,106.76129237621232
6,105.16918377386263,104.77632580704906,106.20302052863515
7,,,
8,,,
9,,,
10,,,
11,,,
