Ntrd
3586899.017135867
4857355.584772236
5492249.196007849
6193034.379275789
6949245.261484528
7614968.161834144
8501970.28827566
3516941.524783661
6500393.35492505
7830767.030498785
9629796.164080227
13420274.025041902
16261967.106947001
20202342.72615155
2828784.162054095
3123207.807109785
3418816.572858915
3441097.447229083
3599806.2989661265
3819408.2040966493
4645089.338866193
