Nman,lman,lmanS,lamml,year
271750.2882833618,104.78641880422563,104.78641880422563,106.35553734003332,2019
300899.2359319391,106.68701254175939,111.79349977172471,108.87919750459419,2020
308680.2155745944,102.58590874069726,114.68437765385312,102.88475965877834,2021
313067.6186611143,101.42134249788344,116.31443545188047,101.58560564596561,2022
315296.8821192669,100.71207091544197,117.14267671719382,100.79436424755751,2023
314354.03464691405,99.70096517732256,116.79237932159296,99.66640601833568,2024
314460.57967751834,100.03389332372461,116.83196414080211,100.03781034165821,2025
287117.4585434928,94.7509969627445,110.69945079456615,94.14437486815689,2019
365507.91231704055,104.63598632599896,115.83146219635817,105.17176268497539,2020
371450.38442085043,101.62581216536167,117.71466420006286,101.81370567088214,2021
378014.7039797338,101.76721302068867,119.79493307306632,101.97144808334414,2022
400030.48166326166,105.82405325817912,126.77185377584172,106.49713333860399,2023
407116.54935717094,101.77138193680806,129.0174674945837,101.97609879698024,2024
412460.5773280385,101.31265309143186,130.71101927013845,101.46435511220409,2025
279780.12855642266,92.88349393688794,121.40896165862347,92.06104636284202,2020
270243.6214715602,96.59142801382364,117.27064980282003,96.19750271731856,2021
266915.1860282949,98.76835744535211,115.8262945757364,98.62601773227121,2022
259829.4083328339,97.34530739861694,112.75146250317816,97.03850719772025,2023
256047.68568665461,98.54453632849173,111.11040592735013,98.37632983008815,2024
255006.59805033656,99.5934008801813,110.65863199482254,99.54641062165577,2025
280871.17129789735,97.20829371415161,107.56936800958924,96.88565897712158,2019
